This is a List of All Asset IDs
as the Decompiler often has to use an Asset's ID
because it can only GUESS what is an Asset and what is just a Number

Base Project Files:
79 - spr_sausagemannocigar_hit
80 - spr_sausageman_hit
81 - spr_sausagemannocigar_land
82 - spr_sausageman_land
83 - spr_sausagemannocigar_fall
84 - spr_sausageman_fall
85 - spr_sausagemannocigar_turn
86 - spr_sausageman_turn
87 - spr_sausagemannocigar_walk
88 - spr_sausageman_walk
89 - spr_sausagemannocigar_idle
90 - spr_sausageman_idle
91 - spr_pizzagoblin_dead
92 - spr_pizzagoblin_grabbed
93 - spr_pizzagoblin_throwbomb
94 - spr_pizzagoblin_stomped
95 - spr_pizzagoblin_recovery
96 - spr_pizzagoblin_stun
97 - spr_pizzagoblin_stunland
98 - spr_pizzagoblin_stunfall
99 - spr_pizzagoblin_hitwall
100 - spr_pizzagoblin_stunfalltrans
101 - spr_pizzagoblin_flying
102 - spr_pizzagoblin_hit
103 - spr_pizzagoblin_hitceilling
104 - spr_pizzagoblin_land
105 - spr_pizzagoblin_fall
106 - spr_pizzagoblin_turn
107 - spr_pizzagoblin_walk
108 - spr_pizzagoblin_idle
109 - spr_slimemask
110 - spr_slimerecovery
111 - spr_slimeturn
112 - spr_slimefall
113 - spr_slimedead
114 - spr_slimestun
115 - spr_slimegrabbed
116 - spr_slimebounce
117 - spr_slimemove
118 - spr_slimehitbox
119 - spr_slimeidle
120 - spr_forknight_dead
121 - spr_forknight_mask
122 - spr_forknight_stun
123 - spr_forknight_grabbed
124 - spr_forknight_walk
125 - spr_forknight_idle
126 - spr_forkhitbox
127 - spr_coolpinea_idle
128 - spr_coolpinea
129 - spr_coolpinea_dead
130 - spr_coolpineahitbox
131 - spr_coolpineastun
132 - spr_coolpinea_grabbed
133 - spr_pepperman_stun
134 - spr_pepperman_hurt
135 - spr_pepperman_charge
136 - spr_peppermanlow_stun
137 - spr_peppermanlow_hurt
138 - spr_peppermanlow_charge
139 - spr_peppermanlow
140 - spr_pepperman
141 - spr_peppermanmid_stun
142 - spr_peppermanmid_hurt
143 - spr_peppermanmid_charge
144 - spr_peppermanmid
145 - spr_boxcrusher_land
146 - spr_boxcrusher_fall
147 - spr_boxcrusher_idle
148 - spr_grabbiehand_hifive
149 - spr_grabbiehand_release
150 - spr_grabbiehand_catch
151 - spr_grabbiehand_fall
152 - spr_grabbiehand_idle
153 - spr_grabbiehand_dropspot
154 - spr_cheeserobot_goop
155 - spr_robot_knife
156 - spr_cheeserobot_dead
157 - spr_robot_dead
158 - spr_cheeserobot_stun
159 - spr_robot_stun
160 - spr_cheeserobot_attack
161 - spr_robot_attack
162 - spr_cheeserobot_walk
163 - spr_robot_walk
164 - spr_cheeserobot_idle
165 - spr_robot_idle
166 - spr_pizzaboy
167 - spr_pepgoblinstun
168 - spr_pepgoblin
169 - spr_pepgoblin_kick
170 - spr_pepgoblin_dead
171 - spr_piraneapple_dead
172 - spr_piraneapple
173 - spr_piraneappleattack
174 - spr_anchodead
175 - spr_anchobounce
176 - spr_ancho
177 - spr_trash
178 - spr_trash_throw
179 - spr_trash_dead
180 - spr_trash_bump
181 - spr_bigcheese_dead
182 - spr_bigcheese_mask
183 - spr_bigcheese_stun
184 - spr_bigcheese_walk
185 - spr_bigcheese_idle
186 - spr_spitcheese_spit
187 - spr_spitcheese_stun
188 - spr_spitcheese_spike
189 - spr_spitcheese_dead
190 - spr_spitcheese_idle
191 - spr_pizzaball_stun
192 - spr_pizzaball_walk
193 - spr_pizzaball_idle
194 - spr_peasanto_dead
195 - spr_peasanto_stun
196 - spr_peasanto_attack
197 - spr_peasanto_walk
198 - spr_peasanto_idle
199 - spr_ninja_attack
200 - spr_ninja_dead
201 - spr_ninja_stun
202 - spr_ninja_walk
203 - spr_ninja_idle
204 - spr_ranch_dead
205 - spr_ranch_stun
206 - spr_ranch_shoot
207 - spr_ranch_idle
208 - spr_invtrash_dead
209 - spr_invtrash_throw
210 - spr_invtrash_stun
211 - spr_invtrash_idle
212 - spr_pizzice_walk
213 - spr_pizzice_stun
214 - spr_pizzice_dead
215 - spr_fencer
216 - spr_fencer_stun
217 - spr_fencer_dead
218 - spr_kentukykenny_walk
219 - spr_kentukykenny_idle
220 - spr_kentukykenny_stun
221 - spr_kentukykenny_throw
222 - spr_kentukykenny_dead
223 - spr_kentukykenny_projectile
224 - spr_grandpa
225 - spr_grandpa_dead
226 - spr_grandpa_punch
227 - spr_indiancheese_walk
228 - spr_indiancheese_stun
229 - spr_indiancheese_dead
230 - spr_pizzard_walk
231 - spr_pizzard_shoot
232 - spr_pizzard_stun
233 - spr_pizzard_dead
234 - spr_pizzard_bolt
235 - spr_player_barrelcrouch
236 - spr_player_barrelmach
237 - spr_player_barrelroll
238 - spr_player_barrelslipnslide
239 - spr_player_barrelfloat
240 - spr_player_barrelfall
241 - spr_player_barrelmove
242 - spr_player_barrelidle
243 - spr_bombpep_end
244 - spr_bombpep_runabouttoexplode
245 - spr_bombpep_run
246 - spr_bombpep_intro
247 - spr_meteorpep_land
248 - spr_meteorpep_flying
249 - spr_meteorpep_impact
250 - spr_knightpep_charge
251 - spr_knightpep_downslope
252 - spr_swordstone
253 - spr_knightpep_attack
254 - spr_knightpep_hitbox
255 - spr_swordhitbox
256 - spr_knightpep_land
257 - spr_knightpep_fall
258 - spr_knightpep_jump
259 - spr_knightpep_jumpstart
260 - spr_knightpep_idle
261 - spr_knightpep_walk
262 - spr_knightpep_thunder
263 - spr_knightpep_start
264 - spr_shotgun_shot
265 - spr_shotgun_shotdown
266 - spr_shotgun_pullin
267 - spr_shotgun_idle
268 - spr_shotgun_shootair
269 - spr_shotgun_duck
270 - spr_shotgun_goduck
271 - spr_shotgun_land
272 - spr_shotgun_fall
273 - spr_shotgun_jump
274 - spr_shotgun_walk
275 - spr_shotgun_pullout
276 - spr_player_shotgunjump1
277 - spr_player_shotgunjump2
278 - spr_player_shotgun
279 - spr_boxxeddebris
280 - spr_boxxedpep_air
281 - spr_boxxedpep_walk
282 - spr_boxxedpep_idle
283 - spr_boxxedpep_intro
284 - spr_cheesepep_stickceilling
285 - spr_cheesepep_stickwall
286 - spr_cheesepep_land
287 - spr_cheesepep_fall
288 - spr_cheesepep_jumpstart
289 - spr_cheesepep_jump
290 - spr_cheesepep_walk
291 - spr_cheesepep_idle
292 - spr_cheesepep_intro
293 - spr_cheeseball
294 - spr_player_cheeseball
295 - spr_peppalette
296 - spr_player_deathend
297 - spr_player_deathstart
298 - spr_player_entergate
299 - spr_player_charge
300 - spr_sweat
301 - spr_player_eatspaghetti
302 - spr_player_3hpwalk
303 - spr_player_3hpidle
304 - spr_player_hurtjump
305 - spr_player_hurtwalk
306 - spr_player_hurtidle
307 - spr_player_catched
308 - spr_player_phonepanic
309 - spr_player_phoneidle
310 - spr_player_phonestart
311 - spr_player_suplexmash7
312 - spr_player_suplexmash6
313 - spr_player_suplexmash5
314 - spr_player_suplexmash4
315 - spr_player_suplexmash3
316 - spr_player_suplexmash2
317 - spr_player_suplexmash1
318 - spr_player_suplexdash
319 - spr_player_slaprun1
320 - spr_player_slaprun2
321 - spr_player_slap2air
322 - spr_player_slap1air
323 - spr_player_slap2
324 - spr_player_slap1
325 - spr_player_jumphurt
326 - spr_player_shootslide
327 - spr_player_shootdiagonal
328 - spr_player_aimdiagonal
329 - spr_player_aimup
330 - spr_player_shootup
331 - spr_player_crouchshoot
332 - spr_player_levelcomplete
333 - spr_player_climbwall
334 - spr_player_upslopes
335 - spr_player_downslopes
336 - spr_player_piledriverland
337 - spr_player_piledriver
338 - spr_player_grabmove
339 - spr_player_chainsawswing
340 - spr_player_facehurtup
341 - spr_player_facehurt
342 - spr_player_mach3jump
343 - spr_player_bodyslamland
344 - spr_player_bodyslamfall
345 - spr_player_bodyslamstart
346 - spr_player_superjumpright
347 - spr_player_superjumpleft
348 - spr_player_airdash1
349 - spr_player_airdash2
350 - spr_player_secondjump2
351 - spr_player_secondjump1
352 - spr_player_machslideboost3
353 - spr_player_machslideboost
354 - spr_player_supersidejumpland
355 - spr_player_supersidejump
356 - spr_player_supersidejumpprep
357 - spr_player_chainsawbump
358 - spr_player_chainsawcrouch
359 - spr_player_chainsawair
360 - spr_player_chainsawend2
361 - spr_player_handgesture4
362 - spr_player_handgesture3
363 - spr_player_handgesture2
364 - spr_player_handgesture1
365 - spr_player_hanstandjump
366 - spr_player_gottreasure
367 - spr_player_idlevomitblood
368 - spr_player_idlevomit
369 - spr_player_idledance
370 - spr_player_idlefrown
371 - spr_player_grabbingfall
372 - spr_player_grabbingjump
373 - spr_player_grabbingmove
374 - spr_player_grabbing
375 - spr_player_running
376 - spr_player_chainsawpogobounce
377 - spr_player_chainsawpogo2
378 - spr_chainsawpogomask
379 - spr_player_chainsawpogo1
380 - spr_player_stomp
381 - spr_player_stompprep
382 - spr_player_stunned
383 - spr_player_chainsawend
384 - spr_player_chainsawstart
385 - spr_player_chainsaw
386 - spr_player_facestomphit
387 - spr_player_facestomp
388 - spr_player_mach4
389 - spr_player_dead
390 - spr_player_timesup
391 - spr_player_winding
392 - spr_player_machroll
393 - spr_player_pistolair
394 - spr_player_pistol
395 - spr_player_machfreefall
396 - spr_player_machpunch2
397 - spr_player_machpunch1
398 - spr_player_throw
399 - spr_player_slam
400 - spr_player_grind
401 - spr_player_skateboard
402 - spr_player_backbreaker
403 - spr_player_shoulder
404 - spr_player_shoulderprep
405 - spr_player_uppunch
406 - spr_player_uppunchprep
407 - spr_player_punch
408 - spr_player_punchprep
409 - spr_player_backkick
410 - spr_player_backkickprep
411 - spr_player_grab
412 - spr_player_mach1
413 - spr_player_panic
414 - spr_player_bossdefeat
415 - spr_player_bossintro
416 - spr_player_smirk
417 - spr_player_idle2
418 - spr_player_climbstairs
419 - spr_player_stairs
420 - spr_player_pizzathrow
421 - spr_player_pizzathrow2
422 - spr_player_pizzathrow3
423 - spr_player_superjumpprep
424 - spr_player_superjumppreplight
425 - spr_player_superjumpland
426 - spr_player_superjump
427 - spr_player_freefallprep
428 - spr_player_mach2jump
429 - spr_player_mach3
430 - spr_player_hangslide
431 - spr_player_crouchslip
432 - spr_player_keyget
433 - spr_player_hang
434 - spr_player_tackle
435 - spr_player_slipnslide
436 - spr_player_ladderdown
437 - spr_player_laddermove
438 - spr_player_ladder
439 - spr_player_victory
440 - spr_player_walkfront
441 - spr_player_Sjump
442 - spr_player_Sjumpstart
443 - spr_player_Sjumpprep
444 - spr_player_lookdoor
445 - spr_player_freefallland
446 - spr_player_freefall
447 - spr_player_land2
448 - spr_player_land
449 - spr_player_bump
450 - spr_player_couchstart
451 - spr_player_crouchslide
452 - spr_player_crouchslidestart
453 - spr_player_crouchfall
454 - spr_player_crouchjump
455 - spr_player_crouch
456 - spr_player_fall2
457 - spr_player_fall
458 - spr_player_jump2
459 - spr_player_jump
460 - spr_player_hurt
461 - spr_player_idle
462 - spr_player_crawl
463 - spr_player_move
464 - spr_player_machslideend
465 - spr_player_machslide
466 - spr_player_machslidestart
467 - spr_player_machhit
468 - spr_player_mach
469 - spr_player_machclimbwall
470 - spr_masknull
471 - spr_crouchmask
472 - spr_player_mask
473 - spr_googlyeyes
474 - spr_googlyeyeshurt
475 - spr_player_crazyrun
476 - spr_player_taunt
477 - spr_cowboyhat1
478 - spr_player_slapup
479 - spr_player_hitboxslapup
480 - spr_player_slapdash
481 - spr_player_knock
482 - spr_player_givepizza
483 - spr_player_squished
484 - spr_player_firemouthintro
485 - spr_player_firemouth
486 - spr_player_firemouthend
487 - spr_player_firemouthshoot
488 - spr_player_fireass
489 - spr_player_fireassground
490 - spr_player_fireassend
491 - spr_player_haulingidle
492 - spr_player_haulingwalk
493 - spr_player_haulingjump
494 - spr_player_haulingfall
495 - spr_player_haulingland
496 - spr_player_diagonaldownthrow
497 - spr_player_diagonalupthrow
498 - spr_player_downpizzabox
499 - spr_player_uppizzabox
500 - spr_player_haulingstart
501 - spr_player_suplexgrabjump
502 - spr_player_suplexgrabjumpstart
503 - spr_player_finishingblow1
504 - spr_player_finishingblow2
505 - spr_player_finishingblow3
506 - spr_player_finishingblow4
507 - spr_player_finishingblow5
508 - spr_player_swingding
509 - spr_player_swingdingend
510 - spr_player_swingdinghitbox
511 - spr_chain
512 - spr_playerN_land2
513 - spr_playerN_punch
514 - spr_playerN_backkick
515 - spr_playerN_shoulder
516 - spr_playerN_uppunch
517 - spr_playerN_stomp
518 - spr_playerN_stompprep
519 - spr_playerN_crouchslip
520 - spr_playerN_crouch
521 - spr_playerN_bump
522 - spr_playerN_crouchstart
523 - spr_playerN_victory
524 - spr_playerN_hurt
525 - spr_playerN_climbwall
526 - spr_playerN_grab
527 - spr_playerN_hookshot2
528 - spr_playerN_hookshot1
529 - spr_hookshot_top
530 - spr_hookshot_drop
531 - spr_hookshot_side
532 - spr_hookshot
533 - spr_playerN_mach1
534 - spr_playerN_idle
535 - spr_playerN_machslideboost
536 - spr_playerN_machslideend
537 - spr_playerN_machslidestart
538 - spr_playerN_machslide
539 - spr_playerN_secondjump2
540 - spr_playerN_secondjump1
541 - spr_playerN_mach
542 - spr_playerN_walkfront
543 - spr_playerN_lookdoor
544 - spr_playerN_ladderdown
545 - spr_playerN_jump
546 - spr_playerN_fall
547 - spr_playerN_ladder
548 - spr_playerN_laddermove
549 - spr_playerN_crouchfall
550 - spr_playerN_crouchjump
551 - spr_playerN_crawl
552 - spr_playerN_land
553 - spr_playerN_move
554 - spr_playerN_mach2jump
555 - spr_playerN_timesup
556 - spr_playerN_deathstart
557 - spr_playerN_deathend
558 - spr_playerN_machpunch1
559 - spr_playerN_machpunch2
560 - spr_playerN_hurtjump
561 - spr_playerN_entergate
562 - spr_playerN_gottreasure
563 - spr_playerN_bossintro
564 - spr_playerN_hurtidle
565 - spr_playerN_hurtwalk
566 - spr_playerN_suplexmash1
567 - spr_playerN_suplexmash2
568 - spr_playerN_suplexmash3
569 - spr_playerN_suplexmash4
570 - spr_playerN_keyget
571 - spr_playerN_idlegun
572 - spr_playerN_idlesmoke
573 - spr_playerN_idleface
574 - spr_washingmachine
575 - spr_playerN_glide
576 - spr_playerN_suplexdash
577 - spr_washingmachinemount
578 - spr_playerN_tackle
579 - spr_playerN_piledriver
580 - spr_playerN_piledriverland
581 - spr_noisepalette
582 - spr_playerN_charge
583 - spr_noisepushrock
584 - spr_noiserock
585 - spr_noiseboulder
586 - spr_noisedynamite
587 - spr_noisedynamiteexplode
588 - spr_noisehotair
589 - spr_noisehotairthrow
590 - spr_noisehotairmatch
591 - spr_noisebomb
592 - spr_noisebomb_walk
593 - spr_noisebomb_idle
594 - spr_noisebomb_intro
595 - spr_phonedebris
596 - spr_bigpizzadebris
597 - spr_bigdebris
598 - spr_debris
599 - spr_bombdebris
600 - spr_cheeseballblockdebris
601 - spr_wooddebris
602 - obj_skateboardebris2
603 - obj_skateboardebris1
604 - spr_pizzadebris
605 - spr_slimedebris
606 - spr_knightdebris
607 - spr_baddiegibs
608 - spr_lock
609 - spr_slapstar
610 - spr_vomit2
611 - spr_vomit1
612 - spr_drip2
613 - spr_drip1
614 - spr_tntblockdebris
615 - spr_rockdebris
616 - spr_tvdebris
617 - spr_crushershockwave
618 - spr_baddiespawn
619 - spr_angrycloud
620 - spr_enemybird
621 - spr_glasspiece
622 - spr_thunder
623 - spr_balloonpop
624 - spr_impact
625 - spr_keyparticles
626 - spr_superdashcloud
627 - spr_bulletdisappear
628 - spr_speedlines
629 - spr_highjumpcloud2
630 - spr_highjumpcloud1
631 - spr_bombexplosion
632 - spr_chargeeffect
633 - spr_chainsaweffect
634 - spr_pogoeffect
635 - spr_explosioneffect
636 - spr_pistoleffect
637 - spr_pistoleffectup
638 - spr_shotgunjumpeffect
639 - spr_superslameffect
640 - spr_spikehurteffect
641 - spr_grindeffect
642 - spr_stompeffect
643 - spr_jumpdust
644 - spr_punchdust
645 - spr_cloudeffect
646 - spr_bangeffect
647 - spr_hurteffect
648 - spr_waterdrop
649 - spr_landcloud
650 - spr_slidecloud
651 - spr_dashcloud
652 - spr_dashcloud2
653 - spr_crazyruneffect
654 - spr_crazyrunothereffect
655 - spr_taunteffect
656 - spr_enemybandaid
657 - spr_itspizzatime
658 - spr_pizzakinpineapple_panic
659 - spr_pizzakinpineapple_run
660 - spr_pizzakinpineapple_underwater
661 - spr_pizzakinpineapple
662 - spr_pizzakinpineapple_pause
663 - spr_pizzakinsausage_panic
664 - spr_pizzakinsausage_run
665 - spr_pizzakinsausage_underwater
666 - spr_pizzakinsausage
667 - spr_pizzakinsausage_pause
668 - spr_pizzakincheese_panic
669 - spr_pizzakincheese_run
670 - spr_pizzakincheese_underwater
671 - spr_pizzakincheese
672 - spr_pizzakincheese_pause
673 - spr_pizzakintomato_panic
674 - spr_pizzakintomato_run
675 - spr_pizzakintomato_underwater
676 - spr_pizzakintomato
677 - spr_pizzakintomato_pause
678 - spr_pizzakinshroom_panic
679 - spr_pizzakinshroom_run
680 - spr_pizzakinshroom_underwater
681 - spr_pizzakinshroom
682 - spr_pizzakinshroom_pause
683 - spr_pizzakinmask
684 - spr_toppinshroom_intro
685 - spr_toppincheese_intro
686 - spr_toppintomato_intro
687 - spr_toppinsausage_intro
688 - spr_toppinpineapple_intro
689 - spr_exit
690 - spr_retry
691 - spr_press
692 - spr_100
693 - spr_80
694 - spr_40
695 - spr_20
696 - spr_10
697 - spr_plus60
698 - spr_plus30
699 - spr_ranksign
700 - spr_donesign
701 - spr_Hranksign
702 - spr_credittransformation
703 - spr_inv
704 - spr_factorytitle
705 - spr_ancienttitle
706 - spr_tutorialtitle
707 - spr_tvtreasure
708 - spr_tvpillar
709 - spr_tvdook
710 - spr_tvexit
711 - spr_tvskull
712 - spr_tvtalking4
713 - spr_tvtalking3
714 - spr_tvtalking2
715 - spr_tvtalking1
716 - spr_tvranka
717 - spr_tvrankb
718 - spr_tvrankc
719 - spr_tvrad
720 - spr_tvtimeout
721 - spr_tvbanana
722 - spr_tvknight
723 - spr_tvrankstatus
724 - spr_tvhurt
725 - spr_tvbomb
726 - spr_tvclap
727 - spr_tvcomboresult
728 - spr_tvdefault
729 - spr_tvcombo
730 - spr_tvescape
731 - spr_controls
732 - spr_ok
733 - spr_pressdash
734 - spr_pressslap
735 - spr_pressjump
736 - spr_pressdown
737 - spr_pressleft
738 - spr_pressright
739 - spr_pressup
740 - spr_menuselection
741 - spr_cursor
742 - spr_signs
743 - spr_pizzaHUDcomplete
744 - spr_pizzaHUD
745 - spr_hard
746 - spr_easy
747 - spr_title
748 - spr_resulttextOMG
749 - spr_resulttext
750 - spr_speedbarmax
751 - spr_speedbar
752 - spr_pizzahealthbar
753 - spr_pepinoHUD3hp
754 - spr_pepinoHUD1hp
755 - spr_pepinoHUDhappy
756 - spr_pepinoHUDhurt
757 - spr_pepinoHUDmach2
758 - spr_pepinoHUDmach3
759 - spr_pepinoHUDstun
760 - spr_pepinoHUDmach1
761 - spr_numbers
762 - spr_font
763 - spr_pepinoHUD
764 - spr_Opeppino
765 - spr_gamepadbuttons
766 - spr_stylebar
767 - spr_smallnumber
768 - spr_styles
769 - spr_tvdesert
770 - spr_tvmansion
771 - spr_tvfactory
772 - spr_tvsewer
773 - spr_stylepizza
774 - spr_stylepizzadown
775 - spr_versusflame
776 - spr_vstitle
777 - spr_vsnoiseshadow
778 - spr_vsnoise
779 - spr_vspeppinoshadow
780 - spr_vspeppino
781 - spr_youarehere
782 - spr_youarehere2
783 - spr_pizzabox
784 - spr_timesup
785 - yousuck
786 - spr_scooterrock
787 - spr_pepcooter
788 - spr_rankD
789 - spr_rankC
790 - spr_rankB
791 - spr_rankA
792 - spr_rankS
793 - spr_rankNS
794 - spr_rankNA
795 - spr_rankNB
796 - spr_rankNC
797 - spr_rankND
798 - spr_file2
799 - spr_file2confirm
800 - spr_file2empty
801 - spr_file3
802 - spr_file3empty
803 - spr_file3confirm
804 - spr_file1
805 - spr_file1confirm
806 - spr_siren
807 - spr_goalsign
808 - spr_ballgoal
809 - spr_hallway
810 - spr_exitsign
811 - spr_lamp
812 - spr_bomblit
813 - spr_bomb
814 - spr_beantreasuregot
815 - spr_beantreasure
816 - spr_crashingplane
817 - spr_uparrow
818 - spr_spring
819 - spr_beartrap
820 - spr_dashpad
821 - spr_balloon
822 - spr_pizzacutterholder
823 - spr_pizzacutterstart
824 - spr_pizzacuttersaw
825 - spr_pizzacutterthwomp
826 - spr_lightlamp
827 - spr_glassblock
828 - spr_treasure1pick
829 - spr_treasure1
830 - spr_doorspawnpoint
831 - spr_metalblockdebris
832 - spr_bowlingballtrap
833 - spr_bowlingballfalling
834 - spr_skateboard
835 - spr_wetfloor
836 - spr_breakabledoor
837 - spr_barrelfloat
838 - spr_barrel
839 - spr_pizzaboxunopen
840 - spr_pizzaboxopen
841 - spr_banana
842 - spr_hookleft
843 - spr_hook
844 - spr_pizzastand
845 - spr_golfbillboard
846 - spr_firemouth_projectile
847 - spr_freemilk
848 - spr_freemilksuprised
849 - spr_motocycle
850 - spr_motcycledebris
851 - spr_donthit
852 - spr_shotgunpickup_collected
853 - spr_shotgunpickup
854 - spr_healthpickupeaten
855 - spr_pizzaslice
856 - spr_spaghetti
857 - spr_shotgun
858 - spr_clockcollectible1
859 - spr_clockcollectible2
860 - spr_pizzacoin
861 - spr_pizzacollect3
862 - spr_pizzacollect
863 - spr_shroomcollect
864 - spr_pineapplecollect
865 - spr_pizzacollect2
866 - spr_tomatocollect
867 - spr_cheesecollect
868 - spr_sausagecollect
869 - spr_giantpizza
870 - spr_desertdestroyable
871 - spr_bombblock
872 - spr_bigbreakable
873 - spr_destroyable2
874 - spr_cheeseballblock
875 - sprite387
876 - spr_destroyable
877 - spr_cheeseblockreform
878 - spr_cheeseblock
879 - spr_tomatoblock
880 - spr_metalb
881 - spr_pizzaballblock
882 - spr_tntblock
883 - spr_haystack
884 - spr_haystackburningup
885 - spr_haystackburning
886 - spr_boxofpizza
887 - spr_rockblock
888 - spr_targetblock
889 - spr_doorvisited
890 - spr_goldendoorunvisited
891 - spr_doortransition
892 - spr_goldendoorvisited
893 - spr_doortransitionend
894 - spr_doorblocked
895 - spr_doorkeyopen
896 - spr_doorkey
897 - spr_doorunvisited
898 - spr_pepperdoor
899 - spr_pepperdoor_closed
900 - spr_breakabletv
901 - spr_key
902 - spr_phonepicked
903 - spr_phone
904 - spr_exitgate
905 - spr_minipillarwoke
906 - spr_minipillarsleep
907 - spr_slope
908 - spr_baddie
909 - spr_ladder
910 - spr_wall
911 - spr_hurtbox
912 - spr_pizzaportal
913 - spr_pizzaportalfade
914 - spr_pizzaportalentrancestart
915 - spr_pizzaportalend
916 - spr_pizzaportalentrance
917 - spr_unclimbablewall
918 - spr_baddiespawner
919 - tile_wallrun
920 - tile_pressany
921 - tile_grab
922 - tile_superjumphold
923 - tile_maxspeedsign
924 - tile_grabsign
925 - tile_tutorialsign
926 - tile_tutorialimage
927 - tile_tutorial
928 - bg_tutorial
929 - bg_factory3
930 - bg_factory3escape
931 - tile_factory
932 - bg_factory1
933 - bg_factory1escape
934 - bg_factory2
935 - bg_factory2escape
936 - tile_bigrocks
937 - bg_cavern
938 - bg_desert
939 - bg_desertescape
940 - tile_desertescape
941 - bg_desertnight
942 - bg_ufo
943 - tile_ufoexterior
944 - bg_ufo2
945 - tile_cavern
946 - tile_desert
947 - bg_desertfront
948 - bg_ravine
949 - bg_ufoentrance
950 - bg_pizzamart
951 - bg_pizzamartinterior
952 - bg_grindrail
953 - bg_castlewall
954 - bg_castlev2
955 - bg_castlev1
956 - tile_table
957 - tile_castle
958 - tile_keysign
959 - tile_stairs
960 - bg_castle4
961 - bg_castle4escape
962 - bg_castle3escape
963 - bg_castle3
964 - bg_castle2
965 - bg_castle1
966 - bg_castle1escape
967 - tile_lamp
968 - spr_plains1
969 - bg_plains2
970 - bg_plains3
971 - bg_mansionplain
972 - bg_mansionside
973 - bg_scrollingforeground
974 - trapscreen2
975 - bg_sky2
976 - bg_trapscreen
977 - bg_titlecloud
978 - bg_titlesky
979 - bg_title
980 - bg_mainmenu
981 - bg_mainmenulight
982 - bg_null
983 - tile_tower
984 - tile_towerdetails
985 - bg_tower
986 - bg_pepperman
987 - sprite1026
988 - sprite10261
989 - sprite102611
990 - sprite1026111
991 - sprite10261112
992 - sprite10261111
993 - bg_ball
994 - tile_ball
995 - bg_sewerfore
996 - bg_sewer3
997 - bg_sewer3escape
998 - bg_sewer2
999 - bg_sewer2escape
1000 - bg_sewer1
1001 - bg_sewer1escape
1002 - tile_trash
1003 - bg_bossroom
1004 - bg_freezer1
1005 - bg_freezer2
1006 - bg_freezer3
1007 - bg_secret
1008 - spr_null
1009 - spr_fakepeppino_idle
1010 - spr_fakepeppino_walk
1011 - spr_fakepeppino_grabdash
1012 - spr_fakepeppino_jumpstart
1013 - spr_fakepeppino_jump
1014 - spr_fakepeppino_fall
1015 - spr_fakepeppino_land
1016 - spr_fakepeppino_crawl
1017 - spr_fakepeppino_grabattack
1018 - spr_alien
1019 - spr_costumerdoor
